file,series_id,name,location,marketplace,currency,quantity,unit,observations
rice-thee-htet-shal-war-tan-796bb29073.svg,rice-thee-htet-shal-war-tan-796bb29073,Rice (Thee Htet Shal),Yangon,War Tan,MMK,1.5,basket,2
rice-yadanar-toe-20-paungde-e9c08fd2e9.svg,rice-yadanar-toe-20-paungde-e9c08fd2e9,Rice (Yadanar Toe) (20%),Bago,Paungde,MMK,100,basket,2
shwe-banana-thiri-mingalar-zay-b45b448ce8.svg,shwe-banana-thiri-mingalar-zay-b45b448ce8,Shwe Banana,Yangon,Thiri Mingalar Zay,MMK,1,pc,2
snake-gourd-thiri-mingalar-zay-9374111c5b.svg,snake-gourd-thiri-mingalar-zay-9374111c5b,Snake Gourd,Yangon,Thiri Mingalar Zay,MMK,1,bundle,2
soya-bean-delta-bayint-naung-0d8965827d.svg,soya-bean-delta-bayint-naung-0d8965827d,Soya Bean (Delta),Yangon,Bayint Naung,MMK,1,viss,2
soya-bean-delta-high-yield-bayint-naung-2d36008eff.svg,soya-bean-delta-high-yield-bayint-naung-2d36008eff,Soya Bean (Delta) (High Yield),Yangon,Bayint Naung,MMK,1,viss,2
stawberry-thiri-mingalar-zay-365571d535.svg,stawberry-thiri-mingalar-zay-365571d535,Stawberry,Yangon,Thiri Mingalar Zay,MMK,1,pc,2
sultani-sultapya-bayint-naung-bc2bfd7388.svg,sultani-sultapya-bayint-naung-bc2bfd7388,Sultani Sultapya,Yangon,Bayint Naung,MMK,1,viss,2
tamarind-darzinn-new-bayint-naung-aa989a7416.svg,tamarind-darzinn-new-bayint-naung-aa989a7416,Tamarind (Darzinn) (New),Yangon,Bayint Naung,MMK,1,viss,2
tamarind-kyaukpadaung-bayint-naung-a95b0c2f1e.svg,tamarind-kyaukpadaung-bayint-naung-a95b0c2f1e,Tamarind (Kyaukpadaung),Yangon,Bayint Naung,MMK,1,viss,2
tamarind-pwintkat-new-bayint-naung-43c7552783.svg,tamarind-pwintkat-new-bayint-naung-43c7552783,Tamarind (Pwintkat) (New),Yangon,Bayint Naung,MMK,1,viss,2
taung-pyan-old-pyay-85891a6d6f.svg,taung-pyan-old-pyay-85891a6d6f,Taung Pyan (Old),Bago,Pyay,MMK,1,bag,2
thuka-new-pyay-2575e40dc3.svg,thuka-new-pyay-2575e40dc3,Thuka (New),Bago,Pyay,MMK,1,bag,2
tomato-thiri-mingalar-zay-a47f3ade74.svg,tomato-thiri-mingalar-zay-a47f3ade74,Tomato,Yangon,Thiri Mingalar Zay,MMK,1,box,2
wheat-kalay-new-mandalay-57e0734274.svg,wheat-kalay-new-mandalay-57e0734274,Wheat (Kalay) (New),Mandalay,Mandalay,MMK,60,viss,2
wheat-monywa-new-mandalay-00063fc858.svg,wheat-monywa-new-mandalay-00063fc858,Wheat (Monywa) (New),Mandalay,Mandalay,MMK,60,viss,2
wheat-myinmu-myaung-new-mandalay-428af6b59a.svg,wheat-myinmu-myaung-new-mandalay-428af6b59a,"Wheat (Myinmu, Myaung) (New)",Mandalay,Mandalay,MMK,60,viss,2
wheat-shan-mandalay-b43434266f.svg,wheat-shan-mandalay-b43434266f,Wheat (Shan),Mandalay,Mandalay,MMK,60,viss,2
white-chick-pea-v2-new-mandalay-3851eba323.svg,white-chick-pea-v2-new-mandalay-3851eba323,White Chick Pea (V2) (New),Mandalay,Mandalay,MMK,57,viss,2
white-chick-pea-v7-new-mandalay-aac122b826.svg,white-chick-pea-v7-new-mandalay-aac122b826,White Chick Pea (V7) (New),Mandalay,Mandalay,MMK,57,viss,2
white-sesame-new-1-2-3-mandalay-4c639145c0.svg,white-sesame-new-1-2-3-mandalay-4c639145c0,"White Sesame (New) (1,2,3)",Mandalay,Mandalay,MMK,45,viss,2
yadanar-toe-na-85-pyay-da74380ed0.svg,yadanar-toe-na-85-pyay-da74380ed0,Yadanar Toe (Na) (85%),Bago,Pyay,MMK,1,bag,2
yard-long-bean-thiri-mingalar-zay-a43e79690d.svg,yard-long-bean-thiri-mingalar-zay-a43e79690d,Yard Long Bean,Yangon,Thiri Mingalar Zay,MMK,1,bundle,2
